property_url,property_code,property_type,price_eur,cadastral_income_eur,postal_code,locality_name,state_of_the_property,currently_leased,build_year,bedrooms,bathrooms,toilets,livable_surface_m2,total_land_surface_m2,terrace_m2,garden_m2,heating_type,epc_kwh_m2_year,swimming_pool
https://immovlan.be/en/detail/residence/for-sale/1703/schepdaal/rbv09773,RBV09773,house,349000,466,1703,Schepdaal,Normal,,1946,3,1,,203,132,14,,Gas,103,
https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbd77220,VBD77220,apartment,290000,,1300,Wavre,,No,,2,1,1,80,,24,,,186,
https://immovlan.be/en/detail/apartment/for-sale/1325/chaumont-gistoux/vbd76856,VBD76856,apartment,315000,970,1325,Chaumont-Gistoux,Excellent,,2009,2,1,1,73,,,,,102,No
https://immovlan.be/en/detail/villa/for-sale/1430/rebecq/vbd76838,VBD76838,house,675000,1388,1430,Rebecq,Normal,No,1989,4,4,2,275,1800,38,266,Hot air,197,No
https://immovlan.be/en/detail/mixed-building/for-sale/1480/tubize/vbd75183,VBD75183,mixed-building,465000,,1480,Tubize,Normal,Yes,,4,2,3,225,177,45,,Gas,248,No
https://immovlan.be/en/detail/residence/for-sale/1440/braine-le-chateau/vbd72510,VBD72510,house,1165000,,1440,Braine-le-Château,Excellent,,1971,4,2,2,340,19000,35,,Fuel oil,239,No
https://immovlan.be/en/detail/triplex/for-sale/1480/tubize/vbd69155,VBD69155,triplex,280000,1050,1480,Tubize,Normal,No,1977,3,2,2,168,,21,,Gas,274,No
https://immovlan.be/en/detail/apartment/for-sale/1480/clabecq/vbd78158,VBD78158,apartment,230000,327,1480,Clabecq,Normal,No,,1,,1,90,,,,,303,
https://immovlan.be/en/detail/residence/for-sale/1430/bierghes/vbd78154,VBD78154,house,250000,,1430,Bierghes,To be renovated,No,,3,1,1,150,643,,,Fuel oil,423,
https://immovlan.be/en/detail/mixed-building/for-sale/1400/nivelles/vbd78102,VBD78102,mixed-building,450000,,1400,Nivelles,To be renovated,No,,5,4,7,335,150,,,Gas,246,
https://immovlan.be/en/detail/residence/in-public-sale/1420/braine-l-alleud/vbd78052,VBD78052,house,175000,451,1420,Braine-l'Alleud,To be renovated,No,,2,,,,,,,,496,
https://immovlan.be/en/detail/residence/for-sale/1350/folx-les-caves/vwd16401,VWD16401,house,450000,,1350,Folx-les-Caves,Excellent,,2025,4,2,,180,,,455,Electricity,9,
https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbd78024,VBD78024,apartment,415000,,1300,Wavre,New,No,2025,2,1,1,95,,11,,,45,
